   -0.1350E+01   -0.2378E+01
   -0.1337E+01   -0.2083E+01
   -0.1323E+01   -0.1807E+01
   -0.1310E+01   -0.1547E+01
   -0.1296E+01   -0.1303E+01
   -0.1283E+01   -0.1075E+01
   -0.1269E+01   -0.8615E+00
   -0.1256E+01   -0.6626E+00
   -0.1242E+01   -0.4773E+00
   -0.1229E+01   -0.3052E+00
   -0.1215E+01   -0.1456E+00
   -0.1202E+01    0.2098E-02
   -0.1188E+01    0.1384E+00
   -0.1175E+01    0.2638E+00
   -0.1161E+01    0.3790E+00
   -0.1147E+01    0.4843E+00
   -0.1134E+01    0.5804E+00
   -0.1121E+01    0.6676E+00
   -0.1107E+01    0.7465E+00
   -0.1094E+01    0.8175E+00
   -0.1080E+01    0.8810E+00
   -0.1067E+01    0.9375E+00
   -0.1053E+01    0.9873E+00
   -0.1040E+01    0.1031E+01
   -0.1026E+01    0.1069E+01
   -0.1013E+01    0.1101E+01
   -0.9990E+00    0.1128E+01
   -0.9855E+00    0.1151E+01
   -0.9720E+00    0.1169E+01
   -0.9585E+00    0.1182E+01
   -0.9450E+00    0.1192E+01
   -0.9315E+00    0.1199E+01
   -0.9180E+00    0.1202E+01
   -0.9045E+00    0.1202E+01
   -0.8910E+00    0.1199E+01
   -0.8775E+00    0.1193E+01
   -0.8640E+00    0.1185E+01
   -0.8505E+00    0.1176E+01
   -0.8370E+00    0.1164E+01
   -0.8235E+00    0.1150E+01
   -0.8100E+00    0.1135E+01
   -0.7965E+00    0.1118E+01
   -0.7830E+00    0.1100E+01
   -0.7695E+00    0.1081E+01
   -0.7560E+00    0.1061E+01
   -0.7425E+00    0.1040E+01
   -0.7290E+00    0.1019E+01
   -0.7155E+00    0.9965E+00
   -0.7020E+00    0.9738E+00
   -0.6885E+00    0.9507E+00
   -0.6750E+00    0.9272E+00
   -0.6615E+00    0.9035E+00
   -0.6480E+00    0.8797E+00
   -0.6345E+00    0.8557E+00
   -0.6210E+00    0.8317E+00
   -0.6075E+00    0.8076E+00
   -0.5940E+00    0.7837E+00
   -0.5805E+00    0.7599E+00
   -0.5670E+00    0.7362E+00
   -0.5535E+00    0.7127E+00
   -0.5400E+00    0.6895E+00
   -0.5265E+00    0.6665E+00
   -0.5130E+00    0.6437E+00
   -0.4995E+00    0.6213E+00
   -0.4860E+00    0.5992E+00
   -0.4725E+00    0.5774E+00
   -0.4590E+00    0.5559E+00
   -0.4455E+00    0.5348E+00
   -0.4320E+00    0.5141E+00
   -0.4185E+00    0.4937E+00
   -0.4050E+00    0.4737E+00
   -0.3915E+00    0.4540E+00
   -0.3780E+00    0.4347E+00
   -0.3645E+00    0.4157E+00
   -0.3510E+00    0.3971E+00
   -0.3375E+00    0.3788E+00
   -0.3240E+00    0.3609E+00
   -0.3105E+00    0.3433E+00
   -0.2970E+00    0.3260E+00
   -0.2835E+00    0.3090E+00
   -0.2700E+00    0.2923E+00
   -0.2565E+00    0.2759E+00
   -0.2430E+00    0.2597E+00
   -0.2295E+00    0.2438E+00
   -0.2160E+00    0.2282E+00
   -0.2025E+00    0.2128E+00
   -0.1890E+00    0.1976E+00
   -0.1755E+00    0.1827E+00
   -0.1620E+00    0.1679E+00
   -0.1485E+00    0.1533E+00
   -0.1350E+00    0.1388E+00
   -0.1215E+00    0.1245E+00
   -0.1080E+00    0.1103E+00
   -0.9450E-01    0.9629E-01
   -0.8100E-01    0.8234E-01
   -0.6750E-01    0.6848E-01
   -0.5400E-01    0.5470E-01
   -0.4050E-01    0.4097E-01
   -0.2700E-01    0.2729E-01
   -0.1350E-01    0.1364E-01
    0.0000E+00    0.0000E+00
